axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
a4_prevp,A4 전시즌 투구수,0.0,2022,2024,all,7,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a4_prevp,A4 전시즌 투구수,0.25,2022,2024,all,7,871.4353826814624,0.9550654718193528,890.5023219923813,820.9547937182093,cw_v17_base,50.480588963253126,
a4_prevp,A4 전시즌 투구수,0.5,2022,2024,all,7,871.1536531978869,0.6733359882438208,905.5531574982733,820.9547937182093,cw_v17_base,50.198859479677594,
a4_prevp,A4 전시즌 투구수,0.75,2022,2024,all,7,869.6351287589943,-0.8451884506488341,915.6328237273415,820.9547937182093,cw_v17_base,48.68033504078494,
a4_prevp,A4 전시즌 투구수,1.0,2022,2024,all,7,866.87980936474,-3.6005078449030634,920.7413206795522,820.9547937182093,cw_v17_base,45.92501564653071,
a5_asofn,A5 투수 누적 이력,0.0,2022,2024,all,6,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a5_asofn,A5 투수 누적 이력,0.25,2022,2024,all,6,868.644441307087,-1.8358759025560403,890.5098824681601,820.9547937182093,cw_v17_base,47.68964758887773,
a5_asofn,A5 투수 누적 이력,0.5,2022,2024,all,6,866.2228235375546,-4.257493672088458,905.3378973969184,820.9547937182093,cw_v17_base,45.268029819345315,
a5_asofn,A5 투수 누적 이력,0.75,2022,2024,all,6,863.2154639010125,-7.264853308630563,914.9643619959513,820.9547937182093,cw_v17_base,42.26067018280321,
a5_asofn,A5 투수 누적 이력,1.0,2022,2024,all,6,859.6223623974497,-10.857954812193384,919.3892762652256,820.9547937182093,cw_v17_base,38.66756867924039,
a6_psucc,A6 투수 수준 5분위,0.0,2022,2024,all,5,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a6_psucc,A6 투수 수준 5분위,0.25,2022,2024,all,5,872.1214132616617,1.6410960520186109,889.8216021338001,820.9547937182093,cw_v17_base,51.166619543452384,
a6_psucc,A6 투수 수준 5분위,0.5,2022,2024,all,5,873.3418838615004,2.861566651857288,904.4407845471225,820.9547937182093,cw_v17_base,52.38709014329106,
a6_psucc,A6 투수 수준 5분위,0.75,2022,2024,all,5,874.1417290090814,3.6614117994382696,914.3378644495659,820.9547937182093,cw_v17_base,53.18693529087204,
a6_psucc,A6 투수 수준 5분위,1.0,2022,2024,all,5,874.5209487044935,4.040631494850459,919.5128418411302,820.9547937182093,cw_v17_base,53.56615498628423,
a7_inning,A7 이닝,0.0,2022,2024,all,4,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a7_inning,A7 이닝,0.25,2022,2024,all,4,871.6756291485494,1.1953119389063431,890.389148803794,820.9547937182093,cw_v17_base,50.72083543034012,
a7_inning,A7 이닝,0.5,2022,2024,all,4,872.718877943246,2.238560733602867,905.006754533777,820.9547937182093,cw_v17_base,51.76408422503664,
a7_inning,A7 이닝,0.75,2022,2024,all,4,873.6100635936772,3.1297463840340924,914.3331343996031,820.9547937182093,cw_v17_base,52.655269875467866,
a7_inning,A7 이닝,1.0,2022,2024,all,4,874.3491860998431,3.8688688902000195,918.3682884012279,820.9547937182093,cw_v17_base,53.39439238163379,
a8_hand,A8 손 매치업,0.0,2022,2024,all,4,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a8_hand,A8 손 매치업,0.25,2022,2024,all,4,872.9519633782323,2.4716461685892455,890.6292516042802,820.9547937182093,cw_v17_base,51.99716966002302,
a8_hand,A8 손 매치업,0.5,2022,2024,all,4,874.9835893080204,4.5032720983773515,905.4049654232399,820.9547937182093,cw_v17_base,54.028795589811125,
