axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75,2024,2022,R,8,700.7276751836655,8.049236179607988,755.1363704085934,
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2024,2022,R,8,701.1459776356421,8.467538631584603,760.8202396237162,
a3b_gp,A3b 등판 내 투구수,0.0,2024,2022,R,6,692.6784390040575,0.0,692.6784390040575,
a3b_gp,A3b 등판 내 투구수,0.25,2024,2022,R,6,693.6414484769226,0.9630094728651102,721.5127942464816,
a3b_gp,A3b 등판 내 투구수,0.5,2024,2022,R,6,693.8341392959013,1.1557002918438002,742.4474764076928,
a3b_gp,A3b 등판 내 투구수,0.75,2024,2022,R,6,693.2565114610156,0.5780724569581253,755.482485487724,
a3b_gp,A3b 등판 내 투구수,1.0,2024,2022,R,6,691.9085649722656,-0.7698740317919146,760.61782148662,
a4_prevp,A4 전시즌 투구수,0.0,2024,2022,R,7,692.6784390040575,0.0,692.6784390040575,
a4_prevp,A4 전시즌 투구수,0.25,2024,2022,R,7,698.236372570471,5.557933566413453,723.1060687512114,
a4_prevp,A4 전시즌 투구수,0.5,2024,2022,R,7,702.3113840497585,9.632945045701035,746.1443433738668,
a4_prevp,A4 전시즌 투구수,0.75,2024,2022,R,7,704.9034734419424,12.225034437884915,761.7932628721013,
a4_prevp,A4 전시즌 투구수,1.0,2024,2022,R,7,706.0126407470002,13.334201742942696,770.0528272458373,
a5_asofn,A5 투수 누적 이력,0.0,2024,2022,R,6,692.6784390040575,0.0,692.6784390040575,
a5_asofn,A5 투수 누적 이력,0.25,2024,2022,R,6,694.7898441661771,2.1114051621195813,721.143214859965,
a5_asofn,A5 투수 누적 이력,0.5,2024,2022,R,6,696.1204141830545,3.4419751789970405,742.0827649419093,
a5_asofn,A5 투수 누적 이력,0.75,2024,2022,R,6,696.6701490547789,3.9917100507213945,755.4970892500123,
a5_asofn,A5 투수 누적 이력,1.0,2024,2022,R,6,696.4390487812722,3.760609777214654,761.3861877841632,
a6_psucc,A6 투수 수준 5분위,0.0,2024,2022,R,5,692.6784390040575,0.0,692.6784390040575,
a6_psucc,A6 투수 수준 5분위,0.25,2024,2022,R,5,693.0609802809906,0.3825412769331251,722.1473254125809,
a6_psucc,A6 투수 수준 5분위,0.5,2024,2022,R,5,693.0955514516723,0.4171124476148407,743.8138971610164,
